city,state,avg_monthly_rent,avg_annual_income,avg_monthly_income,avg_rent_burden,zip_count,rent_burden_percent,affordability_category
Aberdeen,MD,1892.4472222222223,104696.9283188189,8724.74402656824,0.5524844167687855,6,55.24844167687854,Severely Burdened
Aberdeen,NC,1658.525132275132,113088.3094813683,9424.025790114027,0.4717386700166373,6,47.17386700166373,Burdened
Aberdeen,SD,940.0666666666666,151666.6627927186,12638.88856605988,0.2695130337680351,6,26.95130337680351,Affordable
Aberdeen,WA,1199.3055555555554,125934.86716822296,10494.57226401858,0.34903669672231025,6,34.903669672231025,Borderline
Abilene,TX,1865.839055759056,134738.66350509578,11228.221958757984,0.529237764853425,30,52.9237764853425,Severely Burdened
Abingdon,MD,2171.2026936026937,103859.26582159621,8654.938818466351,0.6432944696571156,6,64.32944696571155,Severely Burdened
Abington,MA,2476.766666666667,112825.7952470542,9402.149603921183,0.792327936138428,6,79.2327936138428,Severely Burdened
Abington,PA,1544.5,110280.47509417217,9190.039591181014,0.4668845468410077,6,46.68845468410077,Burdened
Absecon,NJ,1840.9722222222224,121680.51763851398,10140.043136542832,0.5246990739455882,6,52.469907394558824,Severely Burdened
Acton,MA,2390.2083333333335,132565.81510294773,11047.15125857898,0.7987490124104922,6,79.87490124104923,Severely Burdened
Acworth,GA,2059.0759656084656,114265.76952687763,9522.147460573136,0.5999498312225743,12,59.99498312225743,Severely Burdened
Ada,MI,2995.0,223990.33190684702,18665.86099223725,0.4482543425702101,5,44.82543425702101,Burdened
Ada,OK,1085.9722222222224,121132.72822368133,10094.39401864011,0.3166433291329464,6,31.66433291329464,Borderline
Adairsville,GA,1882.5,141431.48332230098,11785.956943525083,0.5355643363328161,6,53.55643363328161,Severely Burdened
Adamsville,AL,1279.1666666666667,106678.09514389424,8889.841261991185,0.3515233253203533,6,35.15233253203533,Borderline
Addis,LA,1472.0,106815.41961365857,8901.28496780488,0.40755532995109306,6,40.755532995109306,Burdened
Addison,IL,1810.5555555555557,122239.5684865804,10186.630707215036,0.5182278594936328,6,51.82278594936328,Severely Burdened
Addison,TX,1620.3386496386495,169830.7656221526,14152.56380184605,0.4469520623097192,6,44.69520623097192,Burdened
Adel,IA,1145.8333333333333,126282.8492064395,10523.57076720329,0.33550090199535704,6,33.5500901995357,Borderline
Adelanto,CA,1918.9166666666667,99629.63328918368,8302.469440765308,0.537520924846405,6,53.7520924846405,Severely Burdened
Advance,NC,1818.3333333333333,131113.92250907084,10926.160209089236,0.5432723603019939,6,54.32723603019939,Severely Burdened
Affton,MO,1448.9798941798942,114283.03258411092,9523.58604867591,0.41916796722462396,6,41.916796722462394,Burdened
Agoura Hills,CA,4384.277777777777,170400.13779953634,14200.011483294695,0.6719485789614257,5,67.19485789614257,Severely Burdened
Aiea,HI,2488.821428571429,111303.36842011986,9275.280701676655,0.7373623935041737,6,73.73623935041736,Severely Burdened
Aiken,SC,1531.389066951567,121819.13590088203,10151.594658406835,0.43836058733814015,12,43.83605873381401,Burdened
Airway Heights,WA,1662.4444444444443,105959.39597893717,8829.949664911432,0.4753176559675931,6,47.531765596759314,Burdened
Akron,OH,1139.8704421768707,109848.16939826628,9154.014116522188,0.3317279231696148,70,33.17279231696148,Borderline
Alabaster,AL,1794.5833333333333,109584.96353816245,9132.08029484687,0.5283898611637159,6,52.838986116371586,Severely Burdened
Alachua,FL,2180.555555555555,128277.85982560656,10689.82165213388,0.622457990394773,6,62.2457990394773,Severely Burdened
Alameda,CA,2864.9080459770116,127489.41413151205,10624.11784429267,0.8426824008813781,6,84.26824008813782,Severely Burdened
Alamo,TX,1262.5,112433.31473069389,9369.44289422449,0.3485619932087638,6,34.85619932087638,Borderline
Alamogordo,NM,1495.9296296296295,119179.16985008075,9931.59748750673,0.43670826730092327,6,43.67082673009233,Burdened
Alamosa,CO,1384.375,119006.53405165784,9917.211170971486,0.40706838086249775,6,40.706838086249775,Burdened
Albany,CA,3102.9166666666665,145434.49156411685,12119.540963676403,0.4738993192766484,5,47.38993192766484,Burdened
Albany,GA,933.1875,124643.4724925243,10386.956041043692,0.2568582243151342,24,25.685822431513422,Affordable
